date,volume_usd
2025-02-03,2265540
2025-02-04,3576042
2025-02-05,3863516
2025-02-06,2133079
2025-02-07,2293632
2025-02-08,2469160
2025-02-09,1905001
2025-02-10,12965279
2025-02-11,2676262
2025-02-12,2268247
2025-02-13,3015020
2025-02-14,2960968
2025-02-15,2276277
2025-02-16,1556969
2025-02-17,1776687
2025-02-18,1886002
2025-02-19,2549066
2025-02-20,2391470
2025-02-21,2971865
2025-02-22,2283437
2025-02-23,1282741
2025-02-24,1524479
2025-02-25,2116230
2025-02-26,2237359
2025-02-27,2425953
2025-02-28,2780689
2025-03-01,2044468
2025-03-02,1219084
2025-03-03,2343554
2025-03-04,2569222
2025-03-05,7484729
2025-03-06,2749511
2025-03-07,2197507
2025-03-08,2135037
2025-03-09,1121822
2025-03-10,1118019
2025-03-11,1895411
2025-03-12,2337341
2025-03-13,1646176
2025-03-14,1691770
2025-03-15,1744201
2025-03-16,1234271
2025-03-17,1184256
2025-03-18,1665674
2025-03-19,3112184
2025-03-20,4970477
2025-03-21,17628756
2025-03-22,24989162
2025-03-23,26631201
2025-03-24,29472482
2025-03-25,8785647
2025-03-26,2652180
2025-03-27,2810880
2025-03-28,16505061
2025-03-29,22755274
2025-03-30,27212279
2025-03-31,18555313
2025-04-01,9140463
2025-04-02,4361329
2025-04-03,3760214
2025-04-04,3229407
2025-04-05,10436311
2025-04-06,24266124
2025-04-07,7410498
2025-04-08,16537239
2025-04-09,1990276
2025-04-10,4232926
2025-04-11,4893083
2025-04-12,3774584
2025-04-13,5337745
2025-04-14,12630742
2025-04-15,2294996
2025-04-16,3088640
2025-04-17,3737814
2025-04-18,2735183
2025-04-19,2226246
2025-04-20,4558938
2025-04-21,3509035
2025-04-22,4880730
2025-04-23,5749784
2025-04-24,5292088
2025-04-25,5121982
2025-04-26,5141462
2025-04-27,3568563
2025-04-28,3889418
2025-04-29,8796936
2025-04-30,8404266
2025-05-01,6786118
2025-05-02,6783345
2025-05-03,6935734
2025-05-04,5758554
2025-05-05,7596443
2025-05-06,6272700
2025-05-07,8542716
2025-05-08,8917555
2025-05-09,5578510
2025-05-10,5434360
2025-05-11,5842477
2025-05-12,5444873
2025-05-13,7872792
2025-05-14,10714638
2025-05-15,9514671
2025-05-16,6960988
2025-05-17,7102425
2025-05-18,5077284
2025-05-19,11745088
2025-05-20,4625100
2025-05-21,9583564
2025-05-22,12471880
2025-05-23,9009412
2025-05-24,11614654
2025-05-25,8690412
2025-05-26,14106086
2025-05-27,11754807
2025-05-28,12073471
2025-05-29,10225660
2025-05-30,12514164
2025-05-31,6291371
2025-06-01,13748745
2025-06-02,4756201
2025-06-03,4872774
2025-06-04,5951200
2025-06-05,11643026
2025-06-06,19565865
2025-06-07,17268593
2025-06-08,10329261
2025-06-09,20469335
2025-06-10,7837399
2025-06-11,6209118
2025-06-12,16835036
2025-06-13,13214001
2025-06-14,20009100
2025-06-15,9841166
2025-06-16,9170648
2025-06-17,12703805
2025-06-18,10595084
2025-06-19,7000813
2025-06-20,17256533
2025-06-21,7353284
2025-06-22,6181798
2025-06-23,20499596
2025-06-24,5700748
2025-06-25,9224779
2025-06-26,6694260
2025-06-27,5800048
2025-06-28,6634338
2025-06-29,8846906
2025-06-30,5862680
2025-07-01,6522948
2025-07-02,7465944
2025-07-03,7059461
2025-07-04,10321409
2025-07-05,9540088
2025-07-06,6849764
2025-07-07,11714017
2025-07-08,13928932
2025-07-09,13654922
2025-07-10,16186137
2025-07-11,14351280
2025-07-12,15285672
2025-07-13,8390786
2025-07-14,15689191
2025-07-15,7712993
2025-07-16,9488043
2025-07-17,6719452
2025-07-18,5823419
2025-07-19,9151961
2025-07-20,14682990
2025-07-21,11690909
2025-07-22,7762931
2025-07-23,8838265
2025-07-24,7962245
2025-07-25,6576106
2025-07-26,7755270
2025-07-27,7486371
2025-07-28,11162033
2025-07-29,8279124
2025-07-30,8840902
2025-07-31,8299428
2025-08-01,6518871
2025-08-02,9307958
2025-08-03,8598501
2025-08-04,7369063
2025-08-05,5284338
2025-08-06,7007842
2025-08-07,6808545
2025-08-08,7530525
2025-08-09,8855724
2025-08-10,8194036
2025-08-11,14536212
2025-08-12,7305267
2025-08-13,7787422
2025-08-14,9013357
2025-08-15,9002386
2025-08-16,11620391
2025-08-17,14860274
2025-08-18,15562494
2025-08-19,7934251
2025-08-20,7948038
2025-08-21,8162211
2025-08-22,8412700
2025-08-23,12554368
2025-08-24,17273785
2025-08-25,13542170
2025-08-26,10881234
2025-08-27,9632306
2025-08-28,10555295
2025-08-29,16993424
2025-08-30,19484720
2025-08-31,40622690
2025-09-01,28131175
2025-09-02,18272066
2025-09-03,14838850
2025-09-04,23942627
2025-09-05,24566136
2025-09-06,38891115
2025-09-07,52892854
2025-09-08,97162495
2025-09-09,27032266
2025-09-10,11459760
2025-09-11,9995003
2025-09-12,22134051
2025-09-13,24396390
2025-09-14,75659225
2025-09-15,88717673
2025-09-16,37784887
2025-09-17,21839842
2025-09-18,22101679
2025-09-19,32202856
2025-09-20,30997880
2025-09-21,84995663
2025-09-22,106116628
2025-09-23,34353120
2025-09-24,14634240
2025-09-25,15756019
2025-09-26,33824611
2025-09-27,51403377
2025-09-28,122264984
2025-09-29,131309951
2025-09-30,39643566
2025-10-01,34483465
2025-10-02,37675543
2025-10-03,58011764
2025-10-04,25214025
2025-10-05,110700358
2025-10-06,145328752
2025-10-07,49559545
2025-10-08,31278584
2025-10-09,42004712
2025-10-10,51305957
2025-10-11,38534202
2025-10-12,99220271
2025-10-13,99680019
2025-10-14,58597178
2025-10-15,27604560
2025-10-16,29650315
2025-10-17,51238330
2025-10-18,48247080
2025-10-19,105696533
2025-10-20,115594780
2025-10-21,51477040
2025-10-22,44379107
2025-10-23,51194970
2025-10-24,48613101
2025-10-25,64380889
2025-10-26,117814788
2025-10-27,107481172
2025-10-28,55448883
2025-10-29,61949959
2025-10-30,67235341
2025-10-31,57757442
2025-11-01,58814669
2025-11-02,138792044
2025-11-03,138917747
2025-11-04,66311949
2025-11-05,74347522
2025-11-06,59211042
2025-11-07,60595789
2025-11-08,57639336
2025-11-09,131710822
2025-11-10,145805829
2025-11-11,62745504
2025-11-12,57491687
2025-11-13,57672634
2025-11-14,53321618
2025-11-15,60894361
2025-11-16,127087305
2025-11-17,146400896
2025-11-18,51465931
2025-11-19,49357507
2025-11-20,52190814
2025-11-21,63694719
2025-11-22,60450122
2025-11-23,121899427
2025-11-24,127437019
2025-11-25,52899750
2025-11-26,54495719
2025-11-27,68837230
2025-11-28,120006868
2025-11-29,117357533
2025-11-30,138211726
2025-12-01,137687986
2025-12-02,65960120
2025-12-03,55466703
2025-12-04,66944421
2025-12-05,65416994
2025-12-06,57771643
2025-12-07,118110362
2025-12-08,142352336
2025-12-09,61825164
2025-12-10,53968092
2025-12-11,58659534
2025-12-12,66144196
2025-12-13,55024789
2025-12-14,92302945
2025-12-15,132880659
2025-12-16,54106060
2025-12-17,53231520
2025-12-18,56550842
2025-12-19,84883643
2025-12-20,96980402
2025-12-21,136385285
2025-12-22,144359399
2025-12-23,64603089
2025-12-24,80206793
2025-12-25,42507365
2025-12-26,114158825
2025-12-27,89213523
2025-12-28,131106481
2025-12-29,131101237
2025-12-30,91056865
2025-12-31,80099858
2026-01-01,129263917
2026-01-02,124868604
2026-01-03,107184936
2026-01-04,127862983
2026-01-05,161471102
2026-01-06,73574152
2026-01-07,82703593
2026-01-08,95581925
2026-01-09,92783179
2026-01-10,97397897
2026-01-11,172935074
2026-01-12,167809782
2026-01-13,90027301
2026-01-14,93297810
2026-01-15,101556279
2026-01-16,93074673
2026-01-17,81596375
2026-01-18,189461132
2026-01-19,147182773
2026-01-20,125887149
2026-01-21,96471803
2026-01-22,98307912
2026-01-23,103000049
2026-01-24,106633513
2026-01-25,159106427
2026-01-26,196676224
2026-01-27,104465582
2026-01-28,123480033
2026-01-29,120987344
2026-01-30,113605939
2026-01-31,140696706
2026-02-01,175006383
