date,polymarket_volume_usd,kalshi_volume_usd
2025-02-03,11380461,2265540
2025-02-04,11012757,3576042
2025-02-05,11568453,3863516
2025-02-06,10589536,2133079
2025-02-07,14456488,2293632
2025-02-08,13071759,2469160
2025-02-09,14263475,1905001
2025-02-10,16888551,12965279
2025-02-11,13812909,2676262
2025-02-12,16224248,2268247
2025-02-13,16587041,3015020
2025-02-14,16603811,2960968
2025-02-15,11910928,2276277
2025-02-16,13662005,1556969
2025-02-17,10968289,1776687
2025-02-18,16165101,1886002
2025-02-19,15886352,2549066
2025-02-20,20413079,2391470
2025-02-21,23276266,2971865
2025-02-22,15442332,2283437
2025-02-23,18871283,1282741
2025-02-24,18997032,1524479
2025-02-25,15377312,2116230
2025-02-26,16326821,2237359
2025-02-27,13949988,2425953
2025-02-28,16684583,2780689
2025-03-01,14278562,2044468
2025-03-02,16087190,1219084
2025-03-03,13031271,2343554
2025-03-04,15689967,2569222
2025-03-05,14328000,7484729
2025-03-06,14288477,2749511
2025-03-07,18417889,2197507
2025-03-08,13409223,2135037
2025-03-09,15219961,1121822
2025-03-10,13284712,1118019
2025-03-11,15697467,1895411
2025-03-12,14586422,2337341
2025-03-13,14597100,1646176
2025-03-14,13272214,1691770
2025-03-15,13072550,1744201
2025-03-16,14677323,1234271
2025-03-17,13295938,1184256
2025-03-18,16099183,1665674
2025-03-19,17205019,3112184
2025-03-20,14618107,4970477
2025-03-21,14723629,17628756
2025-03-22,11415764,24989162
2025-03-23,11819992,26631201
2025-03-24,11336865,29472482
2025-03-25,10932922,8785647
2025-03-26,10477661,2652180
2025-03-27,13350371,2810880
2025-03-28,17310031,16505061
2025-03-29,11761340,22755274
2025-03-30,11798036,27212279
2025-03-31,10342690,18555313
2025-04-01,18939886,9140463
2025-04-02,16574959,4361329
2025-04-03,15186374,3760214
2025-04-04,24543667,3229407
2025-04-05,11001245,10436311
2025-04-06,13837458,24266124
2025-04-07,13733132,7410498
2025-04-08,13764243,16537239
2025-04-09,15207366,1990276
2025-04-10,13139836,4232926
2025-04-11,13624993,4893083
2025-04-12,11266735,3774584
2025-04-13,12886329,5337745
2025-04-14,8715304,12630742
2025-04-15,11811704,2294996
2025-04-16,12998126,3088640
2025-04-17,12267274,3737814
2025-04-18,9961107,2735183
2025-04-19,14231563,2226246
2025-04-20,14402223,4558938
2025-04-21,12582255,3509035
2025-04-22,13440131,4880730
2025-04-23,13285436,5749784
2025-04-24,13108959,5292088
2025-04-25,13925834,5121982
2025-04-26,13024418,5141462
2025-04-27,13723310,3568563
2025-04-28,18000358,3889418
2025-04-29,37718664,8796936
2025-04-30,22878723,8404266
