date,volume_usd
2025-02-03,11380461
2025-02-04,11012757
2025-02-05,11568453
2025-02-06,10589536
2025-02-07,14456488
2025-02-08,13071759
2025-02-09,14263475
2025-02-10,16888551
2025-02-11,13812909
2025-02-12,16224248
2025-02-13,16587041
2025-02-14,16603811
2025-02-15,11910928
2025-02-16,13662005
2025-02-17,10968289
2025-02-18,16165101
2025-02-19,15886352
2025-02-20,20413079
2025-02-21,23276266
2025-02-22,15442332
2025-02-23,18871283
2025-02-24,18997032
2025-02-25,15377312
2025-02-26,16326821
2025-02-27,13949988
2025-02-28,16684583
2025-03-01,14278562
2025-03-02,16087190
2025-03-03,13031271
2025-03-04,15689967
2025-03-05,14328000
2025-03-06,14288477
2025-03-07,18417889
2025-03-08,13409223
2025-03-09,15219961
2025-03-10,13284712
2025-03-11,15697467
2025-03-12,14586422
2025-03-13,14597100
2025-03-14,13272214
2025-03-15,13072550
2025-03-16,14677323
2025-03-17,13295938
2025-03-18,16099183
2025-03-19,17205019
2025-03-20,14618107
2025-03-21,14723629
2025-03-22,11415764
2025-03-23,11819992
2025-03-24,11336865
2025-03-25,10932922
2025-03-26,10477661
2025-03-27,13350371
2025-03-28,17310031
2025-03-29,11761340
2025-03-30,11798036
2025-03-31,10342690
2025-04-01,18939886
2025-04-02,16574959
2025-04-03,15186374
2025-04-04,24543667
2025-04-05,11001245
2025-04-06,13837458
2025-04-07,13733132
2025-04-08,13764243
2025-04-09,15207366
2025-04-10,13139836
2025-04-11,13624993
2025-04-12,11266735
2025-04-13,12886329
2025-04-14,8715304
2025-04-15,11811704
2025-04-16,12998126
2025-04-17,12267274
2025-04-18,9961107
2025-04-19,14231563
2025-04-20,14402223
2025-04-21,12582255
2025-04-22,13440131
2025-04-23,13285436
2025-04-24,13108959
2025-04-25,13925834
2025-04-26,13024418
2025-04-27,13723310
2025-04-28,18000358
2025-04-29,37718664
2025-04-30,22878723
2025-05-01,17144046
2025-05-02,17972377
2025-05-03,20569957
2025-05-04,19625383
2025-05-05,15818634
2025-05-06,19663255
2025-05-07,23294942
2025-05-08,21307317
2025-05-09,24997390
2025-05-10,19522767
2025-05-11,16852135
2025-05-12,17270311
2025-05-13,17200743
2025-05-14,16827219
2025-05-15,16707247
2025-05-16,19020559
2025-05-17,15412033
2025-05-18,39655292
2025-05-19,15317393
2025-05-20,13904673
2025-05-21,16555832
2025-05-22,12579552
2025-05-23,15230948
2025-05-24,13846548
2025-05-25,14961320
2025-05-26,12483522
2025-05-27,14356669
2025-05-28,15313323
2025-05-29,18764433
2025-05-30,18190944
2025-05-31,16287070
2025-06-01,31299053
2025-06-02,25703480
2025-06-03,49804039
2025-06-04,13684937
2025-06-05,16016003
2025-06-06,17721037
2025-06-07,11373169
2025-06-08,15823832
2025-06-09,12731541
2025-06-10,12388125
2025-06-11,12733071
2025-06-12,15137501
2025-06-13,19654768
2025-06-14,12484566
2025-06-15,11265438
2025-06-16,13293172
2025-06-17,20217247
2025-06-18,19757354
2025-06-19,16465881
2025-06-20,24672557
2025-06-21,18282638
2025-06-22,24231380
2025-06-23,23261918
2025-06-24,27056977
2025-06-25,23155088
2025-06-26,18793982
2025-06-27,17898091
2025-06-28,18393446
2025-06-29,17762809
2025-06-30,21483911
2025-07-01,28118490
2025-07-02,23607324
2025-07-03,23779225
2025-07-04,24695790
2025-07-05,17977618
2025-07-06,18036373
2025-07-07,23132162
2025-07-08,28827902
2025-07-09,20443685
2025-07-10,13304675
2025-07-11,12654462
2025-07-12,14884758
2025-07-13,14852330
